서귀포,흐림,20 이상,10,10,12.3,4.0,12.3, , ,57,서남서,,1020.1
서산, ,14.2, , ,12.1,-13.8,11.6, , ,15,남남서,,1018.8
서울,구름많음,20 이상,6,0,11.2,-1.9,11.0, , ,40,남남서,,1018.6
성산, ,20 이상, , ,12.4,5.0,11.2, , ,61,남남서,,1019.8
세종, ,20 이상, , ,12.6,-10.4,12.6, , ,19,북동,,1018.5
속초, ,20 이상, , ,8.2,0.1,7.1, , ,57,남남동,,1018.2
수원,구름많음,20 이상,8,0,11.1,-5.4,11.1, , ,31,남남동,,1019.4
순창군, ,20 이상, , ,15.0,-8.4,14.4, , ,19,서,,1018.1
순천, ,20 이상, , ,12.9,-14.0,12.2, , ,14,동남동,,1018.1
안동,흐림,20 이상,9,0,12.1,-11.5,12.1, , ,18,북북서,,1019.9
양산시, ,19.3, , ,13.7,-8.2,12.5, , ,21,남서,,1019.6
양평, ,16.9, , ,10.0,-0.5,10.0, , ,48,남,,1020.4
여수,흐림,20 이상,9,9,9.7,-5.0,7.1, , ,35,남서,,1020.3
영광군, ,18.6, , ,12.3,-4.3,11.3, , ,31,서남서,,1019.2
영덕, ,20 이상, , ,13.6,-9.6,12.9, , ,19,서북서,,1019.0
영월, ,19.4, , ,11.1,-7.7,11.1, , ,26,서,,1019.3
영주, ,18.8, , ,11.0,-4.6,10.9, , ,33,남동,,1018.3
영천, ,20 이상, , ,13.3,-12.0,13.3, , ,16,북북서,,1019.9
완도,흐림,20 이상,9,9,10.1,-0.1,8.7, , ,49,동남동,,1019.9
울릉도,흐림,20 이상,9,7,9.4,1.0,9.4, , ,56,북동,,1018.5
울산,구름많음,20 이상,6,3,14.0,-7.4,13.1, , ,22,남동,,1018.8
울진, ,20 이상, , ,11.1,3.8,10.2, , ,61,동,,1018.8
원주, ,19.7, , ,10.7,-6.6,10.7, , ,29,서,,1019.4
의령군, ,20 이상, , ,15.6,-21.9,15.3, , ,6,남남서,,1019.1
의성, ,20 이상, , ,13.1,-10.0,13.1, , ,19,남서,,1018.3
이천, ,18.7, , ,11.3,-2.1,11.2, , ,39,동북동,,1019.9
인제, ,8.3, , ,10.1,-2.5,9.1, , ,41,남,,1019.1
인천,구름많음,20 이상,8,2,9.4,-2.2,9.0, , ,44,남동,,1018.6
임실, ,19.3, , ,13.7,-13.3,13.3, , ,14,남동,,1017.5
장수, ,20 이상, , ,11.7,-13.3,11.0, , ,16,남서,,1018.1
장흥,흐림,20 이상,10,10,10.5,-4.3,8.6, , ,35,남남동,,1019.7
전주,흐림,20 이상,10,10,14.6,-8.8,14.6, , ,19,북북서,,1018.3
정선군, ,12.8, , ,10.7,-6.6,10.7, , ,29,남동,,1019.1
정읍, ,20 이상, , ,11.6,-5.4,11.1, , ,30,서북서,,1018.5
제주,흐림,20 이상,10,4,12.5,3.1,11.9, , ,53,동북동,,1019.4
제천, ,19.8, , ,9.6,-5.9,9.3, , ,33,남서,,1018.9
진도군, ,20 이상, , ,10.1,0.9,9.5, , ,53,동남동,,1018.4
진주, ,20 이상, , ,13.7,-10.9,13.7, , ,17,남동,,1019.7
창원,구름많음,20 이상,8,8,11.9,-6.0,10.9, , ,28,남동,,1019.7
천안, ,20 이상, , ,11.7,-7.7,11.7, , ,25,동북동,,1018.8
철원, ,20 이상, , ,9.3,0.9,8.9, , ,56,남,,1019.1
청송군, ,20 이상, , ,12.0,-10.3,11.5, , ,20,북서,,1018.7
청주,흐림,20 이상,10,3,12.5,-11.2,12.4, , ,18,동,,1018.7
추풍령, ,20 이상, , ,12.5,-14.3,12.2, , ,14,서남서,,1018.3
춘천, ,19.6, , ,11.1,-2.7,11.1, , ,38,서남서,,1019.2
충주, ,19.7, , ,10.9,-6.9,10.9, , ,28,북서,,1018.9
태백, ,20 이상, , ,7.3,-12.5,5.6, , ,23,남서,,1018.3
통영, ,19.8, , ,10.6,0.0, , , ,48, ,,1020.5
파주, ,20 이상, , ,10.3,-0.5,9.6, , ,47,남서,,1019.6
포항,구름많음,20 이상,8,3,15.2,-12.1,15.2, , ,14,서남서,,1019.5
함양군, ,20 이상, , ,15.0,-30.0,15.0, , ,3,북서,,1018.1
합천, ,20 이상, , ,14.9,-16.5,14.4, , ,10,남남서,,1018.5
해남,흐림,14.2,9,8,10.5,-2.5,9.2, , ,40,동남동,,1019.8
홍성,구름많음,20 이상,6,0,12.8,-13.2,12.8, , ,15,서남서,,1018.9
홍천, ,16.8, , ,10.4,-2.9,10.2, , ,39,서북서,,1019.7
흑산도,구름조금,20 이상,4,4,10.2,3.6,7.3, , ,64,남남동,,1018.2
